source,place,comment
TripAdvisor,Uluru-Kata Tjuta,"The main purpose of our visit to Uluru was to hike up Ayers rock before access was closed off for this Aboriginal ""sacred site"". We tried to climb this rock over a period of four days from November 24th thru the 27th, 2017. Every time we showed up at the rock (typically 3 times a day) there was a new excuse on why access was closed: too windy (20 mph, really?) will get to hot today (that is why we were there at 7 am, to climb it when it was cool), the rock is too wet (it rained at 7 pm the night before, the rock was dry), or forecast rain (forecast had showers for 5 pm that evening, again that is why we were there at 7 am (not a cloud in the sky), takes 3 hours for the hike if your slow). Our opinion is that access to climbing the rock is already functionally closed, they are just spinning excuses (in the name of safety) to please the Aborigines. However they don't want to publicize this, because they want to keep the money spigot on. If your main goal (like ours was) to visit the area is to hike up the rock, don't waste your time or money going to it. If you like Aboriginal dot art, and doing some other hikes in the area, go ahead and visit. For my 2 cents there are other better hikes around the Moab, Zion National Park area. If we had known that the access was this bad we would have spent the time and resources to visit the Great Ocean Road instead Good Luck!"
TripAdvisor,Uluru-Kata Tjuta,"OK the not so good part. It costs $25 for a 3 day entry to the national park. Most people don't stay 3 days, so I think there should be a cheaper day rate or per-entry rate. The sun is not guaranteed to set in a way that lights up your vision with golden red glow. Now the good part. There is a road which completely circles Uluru. We drove this perhaps 90 minutes before sunset in the late afternoon. The sky was clear and blue, the sun was getting low, and the rock was a wonderful brick-red / orange sort of colour. This circular road gets very close to the rock in places. There aren't many designated pull-off spots but we almost had the road to ourselves so we stopped a few times. By the time sunset came we were back in the resort on the viewing hill, actually looking more at Kata Tjuta as the sun set almost behind it. The sky by now had quite a lot of cloud cover, and Uluru didn't 'glow' at all. So we were both glad at the time, and then again at sunset, that we had gone when we did (and had this chance to see great sunset silhouettes in the other direction). To stand within yards of a global icon, a symbol of ancient beliefs. That's quite something. As we drove away we saw the pull-offs for the sunset viewing starting to fill. So if your heart is set on this, don't start from the resort too late."
TripAdvisor,Uluru-Kata Tjuta,"This place was nothing what I expected. I stayed at the resort and first of get a rental vehicle if you don't want to get stuck in the middle of nowhere and pay big bucks to all this people whom are just making profits of nature and the aborigines. Unfortunately I didn't enjoy my stayed, at least I can say that I went, experienced it and that's all."
TripAdvisor,Uluru-Kata Tjuta,Worth the visit although sunset was not spectacular. Guide took us to the base of the rock before the viewing which was excellent as we saw far more than would have done. Had BBQ supper which was excellent and very well organised. Would recommend that add-on
TripAdvisor,Uluru-Kata Tjuta,"This is a highlight of any trip to Australia. Please respect the aboriginals and DO NOT CLIMB this spiritual site. Nice at sunset with champagne and snacks. It can be crowded. At sunrise, the highlight for me was to see the Southern Cross at Sunrise over Uluru.!!! Wow..can't beat that. Again, be prepared for crowds and many buses. Everyone wants to see it."
TripAdvisor,Uluru-Kata Tjuta,"Well worth they travel, this is a must see. Plenty of good photo spots away from the masses if you just do a bit of research and know we’re the sun is. Go early if you want prime position at the viewing points as everyone will turn up."
TripAdvisor,Uluru-Kata Tjuta,A must see once in your life. Had some running water due to recent rain which was spectacular. Took the hop on hop off bus so didn't have to do a tour then after a walk around the base walked 2 kms to the cultural centre which was interesting.
TripAdvisor,Uluru-Kata Tjuta,"A beautiful place and surreal experience seeing the rock face to face. Some beautiful walking tracks around the rock where you can see ancient aboriginal paintings/drawings that are over 20,000 years old. Please respect aboriginal land and DO NOT CLIMB the rock! This is seen as disrespectful - it is the equivalent to stomping on your country flag!! Beautiful viewing point at sunset, which lights up the rock."
TripAdvisor,Uluru-Kata Tjuta,"It is amazing how mesmerising a massive rock in the centre of Outback Australia can be and it is astounding how many people come to see this massive rock from before sunrise until after sunset. Generally the land around the rock is flat and so Uluru just stands with such a dominating presence. It had been 44 years since I first visited Ayers Rock and this time I was able to share the experience with my wife. Times have changed since 1973 when people were actually encouraged to climb the Rock and receive a certificate to confirm their climb. Now, out of respect for local Aboriginal people, only about 16% of people climb the Rock and this will cease completely in October 2019. Another significant change is the name Uluru being used by almost everyone, instead of calling it Ayers Rock. With fewer people climbing the rock it means more opportunity to explore the rock at the base level and I discovered a water hole, and waterfall when it rains, which I had no idea existed previously. There are sunrise and sunset viewing platforms so you can capture the different colours of Uluru. Often, just standing and looking at Uluru for a while you can see the colours change about every 15 minutes depending on the sun and cloud at the time. Uluru is a must see experience."
TripAdvisor,Uluru-Kata Tjuta,After passing up this spot on previous trips to Australia we were afraid it wouldn't live up to our expectations. It did.
TripAdvisor,Uluru-Kata Tjuta,5 nights here Superb accomodation and breakfast View of rock from our room Great staff Pool needs an upgrade And some night time entertainment would be great Take your own alcohol if u like to have a drink in the afternoon $32 for a 6 pack ( max per person) can only buy from pub
TripAdvisor,Uluru-Kata Tjuta,"We did the sunrise tour so a very early start but with the heat I would recommend & in fact you cannot walk around the base after 11am due to the heat. The trail is 12 km & take in the beautiful markings on the rock, every part of it is very different. Our tour guide drove us to the rock & provided tea/coffee/cake/biscuits/fruit. We then met up with another tour guide & aboriginal who described the culture, shared stories of the rock & brought us back in time. They made our visit very spiritual & special - definitely a must see! P.s. don’t forget your fly net & hat"
TripAdvisor,Uluru-Kata Tjuta,Has to be seen at sun rise and a small guided tour is well worth while. Unique rock formation and interesting cultural centre.
TripAdvisor,Uluru-Kata Tjuta,Great views and a sunset not sunrise visit is okay. Take panoramic shots as well. There are toilets and trails
TripAdvisor,Uluru-Kata Tjuta,"I didn't know what to expect as Uluru was not on my Australia bucket list but my traveling companions really wanted to visit so we did. It ended up being one on my favorite parts of our 2 week Australian vacation (Sidney, Uluru, Great Ocean Road and Tasmania). The history of this place is so interesting and goes back thousands of years. Make sure you see both the sun set and sunrise and take the time to walk the trails. It is about 6 miles if you want to do the whole base trail, we did not due to the extreme heat."
TripAdvisor,Uluru-Kata Tjuta,This is the real reason to visit the area. Great opportunity for landscape photography but can get overcrowded at the lookouts during sun rise and sun set.
TripAdvisor,Uluru-Kata Tjuta,"There were three of us with all different reasons to visit a Big Red Rock. Obviously everyone has to go? then perhaps you should ask the question why? Is this a tick list because everybody goes & you should go its iconic , or because it is as geological phenomena or spiritual association. To explore the rock you need to get close and then it is very impressive with it looming up as you approach it. The various trails are well established around the rock, although the downside is the amount of people, bikes, segways all sharing the same route, so to try & find a quiet spot just to take everything in, well . . . good luck. There are information boards around telling the various stories of the Aboriginals, you will need a good imagination at times, but no information about the rock itself, how it was formed, its geology, etc. The best & most informative bit of the rock was the free ranger led morning walk, which we realised should be taken before wandering off & exploring the rock on your own. It is also disappointing that you can't get to all parts of the rock or take photos of the most interesting parts."
TripAdvisor,Uluru-Kata Tjuta,"Uluru was AMAZING. It is quite a sight by itself, but it is also full of stories and a sort of spiritual ""ambience"". You know it is a special place"
TripAdvisor,Uluru-Kata Tjuta,"When we first set eyes on the rock as we were flying in we knew we had come to a magical place. The rock is awesome and a few facts we learned made it more so. 350 metres above the ground and 6 klms below the ground, how do you get your head around that. Rangers are ready to answer any questions you have and provide a number of interesting talking tours around some areas. these are free and are very interesting and arms you with a bit more history and knowledge of the local community, the original owners and the spirituality of Uluru. Do go if you have an opportunity."
TripAdvisor,Uluru-Kata Tjuta,This is a must see - we were here as a part of a 30 day tour and this was a highlight visit - gotta see the sunset on it - Super
TripAdvisor,Uluru-Kata Tjuta,"Only by experiencing this magnificent rock can it be fully appreciated in all its glory. Whether it be at sunrise, during the day or at sunset it we were mesmorised with its magestic size and cultural significance."
TripAdvisor,Uluru-Kata Tjuta,"Uluru or Ayers Rock is a magical place, an artefact of Nature's creation still standing after millions of years being denuded by time and the forces of Nature. To the Aboriginal, it is a sacred site. Perhaps, and it had provided them a dream time reference. And whatever it means to them, its their definition that matters to them. For me, it is an awesome testament of the Universe's creation. For that I feel as one with it. I am also its creation. Uluru, a wonder of nature, sacred to the Aboriginals. And for me. It is a fantastic place full of mystery and wonder. Be here, be amazed, be a part of cosmic time. And if you have a chance, the Field of Light by Bruce Munro would enthral as you walk in the field of light. Too bad, this is only until the end of March next year. Be there! and you will not be disappointed."
TripAdvisor,Uluru-Kata Tjuta,"Amazing place with lots of culture. The free guided Mala morning walk is very informative and the perfect length for people with young children and/or the elderly. Lots to see and do in the area. Thankfully climbing Uluru will be closed permanently next year, this can't happen soon enough. Climbing goes against the wishes of the Indigenous owners of the land (Anunga people) and is adding to the negative environmental impacts. If you want to see what the view is like from up there, nothing beats a helicopter flight at sunrise or sunset, STUNNING!"
TripAdvisor,Uluru-Kata Tjuta,"We came here a couple of times, first to do the base walk then to catch the sunset. The base walk took us around 3 hours to do and is very easy and flat. It was great seeing the different faces of Uluru and the different desert fauna. But I wouldn't call it enjoyable as it was very hot and there were lots of flies buzzing around. As we all know, Aussie flies are not civilised :) I highly recommend buying the head net that wraps around your face. This rock seems to change colour every direction you view it from. There are a few rest stops along the way, and even though there are two stops with safe drinking water, great for quenching the thirst but leaves a horrible after taste. Try to view at least one sunrise or sunset. We went for the sunset viewing and it was such an amazing experience, we had a rainbow sky with magnificent colours and you can see Uluru shimmering and seemingly changing colours as the sun sets."
TripAdvisor,Uluru-Kata Tjuta,Had Bruce on our tour of Ayers Rock. Very informative and quite spectacular. Watched the sunset drinking sparkling wine. Fabulous!
TripAdvisor,Uluru-Kata Tjuta,"It has been one of our lifetime ambitions to see this natural spectacle. It was an amazing experience overall but there are some things to be aware of if planning a trip here. To see the rock a national park pass is required which costs 25 dollars per person and is valid for three days. You have the option of joining a tour (coach, mini bus, bike) or using your own vehicle or hire car to tour the park which includes Uluru, the Kata Tjuta range and the cultural centre which is close to Uluru. The tours are not cheap so if you are in the area for few days you will incur some high costs to join the tours or you will be restricted to your hotel/ campground (Assuming you are staying at the Ayers Rock resort area) from which the rock is not directly visible. We opted to join a tour for one day and hire a car for the remainder of our stay. It is also worth me mentioning the flies - they are not apparent in the photographs but will become a memorable part of the experience! We were disappointed in the cultural centre in the park. We felt it was too focused on the transfer of the land back to the original owners rather than the all- encompassing interpretation centre we were expecting."
TripAdvisor,Uluru-Kata Tjuta,"What can I say? We saw it at sunrise. We saw it at sunset. And we cycled round it. It is truly amazing and you won't believe how amazing until you go and see it. The one thing that puzzles me is that the Aboriginals, who consider it holy, would prefer people not to climb on it yet the government allows it - seems to me to make a mockery of their professed wish to atone for earlier mistakes. Why don't they just close it to climbing?"
TripAdvisor,Uluru-Kata Tjuta,"I have always enjoyed my trips to Ayers Rock or Uluru as some prefer to call it. I had planned another trip in 2019 but have just read that it will be closed for tourists. You can no longer climb the rock which was one of the attractions. Taking this into account I think the resort will lose clients. It is expensive for overseas tourists to take a side trip to Ayers Rock, can cost up 10 1000 dollars. For that they will see the Rock."
TripAdvisor,Uluru-Kata Tjuta,"Having had our large overseas family been too the Rock before, I will no longer take overseas relatives to Ayers Rock. This is because the local indigenous people have managed to have people banned from climbing the Rock delisted it being in a National Park. We will take our tourist dollar elsewhere and will never return. What an absolute shame is you have lost potentially thousands of dollars just from my family alone. I would suggest sticking to the East or West Coast if coming from abroad if you want to see the real Australia."
TripAdvisor,Uluru-Kata Tjuta,"Have just had the privilege to visit Uluru & Kata Tjuta National Park what can I say they take your breathe away, the shear size of the rock formations, the amazing colours with the changing light, there is a special calming feeling you get being out at these areas. We went on a 6 hour tour saw the sunrise had breakfast were told of the dreaming the flora and fauna visited water hole saw rock painting THANK YOU TO THE ANANGU PEOPLE THE CARETAKERS OF THESE SITES FOR ALLOWING US TO VISIT"
TripAdvisor,Uluru-Kata Tjuta,"Ayers Rock is called Uluru by the Aboriginal people who serve as its caretakers We arrived at sunset and were able to watch the sun set over the rock as we drank wine, ate cheese, and ate apples. As the sun descended the rock seemed to glow eerily, as if it was lit from within. This painted the massive monolith into a kaleidoscope of colors. This is truly an exceptional site. However, it become a religious experience in the morning as a double rainbow appeared at sunrise. We were all awed as we walked near the base of the massive sandstone monolith. It is amazing to see the effects of millions of years of erosion by rain and wind."
TripAdvisor,Uluru-Kata Tjuta,This has to be the highlight of the trip. The rock is so big. Do all the walks around the base and read all the history. There are water holes and bird life. Do the walks early prior to 11am.
TripAdvisor,Uluru-Kata Tjuta,"I have live in Australia all my life and nothing prepared me for the sheer beauty of Uluru! You must see it at sunrise, go back at sunset, you must walk around it & walk up it if you can - its so worth seeing. I can't believe it took me so long to go. One of the best four days I have spent with my family."
TripAdvisor,Uluru-Kata Tjuta,"I took the Hop On Hop Off bus from the resort to the first stop. There is a short walk to a watering hole. Stop to read the story boards! Once at the watering hole, I was lucky that no one else was there. I sat and enjoyed the beauty as well as the peace and quiet. I then had plenty of time before the bus next stopped here so I decided to walk to the next stop. This took very little time. I had beautiful views of Uluru. In some areas you cannot take photos because it is sacred. It is an easy walk but take plenty of water with you as it is hot and easy to get dehydrated."
TripAdvisor,Uluru-Kata Tjuta,"Wow what a beauty!! Doesnt matter of you are visiting solo, in a group or tour. This is a must see attraction for anyone living or visiting Australia. Take in the glory of this beauty land and learn about the history of tbe aboriginal people"
TripAdvisor,Uluru-Kata Tjuta,"Strongly recommend doing the base walk around the rock, gives you a much better feeling for the area than simply stopping at the car parks. The path is easy to follow and mostly level. Allow around 3 hours for the walk and go early if it's going to be warm, there isn't much shade. Don't forget water!"
TripAdvisor,Uluru-Kata Tjuta,"A good activity to do in the morning before it becomes too hot, mostly flat with shady spots and water stations was were very impressed with also seating to take a break. It was amazing to get up so close to Uluru. worth walking the next day after walking the Mala walk with the Ranger."
TripAdvisor,Uluru-Kata Tjuta,Awesome place to learn the culture. Very spiritual and uplifting. Amazing to see the rock. We Didn't hike up it as we felt it wasn't right for us too.
TripAdvisor,Uluru-Kata Tjuta,AAT Kings is a tour company party excellence. Very professional guides and good comfortable vehicles. Excellent food arrangements. Don't have to think twice while signing up for a tour with them.
TripAdvisor,Uluru-Kata Tjuta,"Stunning! The sights around Uluru are amazing, base walking took about 5 hours. The beauty of this monolithic rock can not be rushed. Kata Tjuta is stunning and does not seem to have as much exposure as Uluru. The spiritual and cultural benefits of visiting 'the Red Centre' is breath taking. As cliche as it sounds, it certainly is one for the bucket list. Only downfall : it is expensive."
TripAdvisor,Uluru-Kata Tjuta,"More than what I expected, so much more. It's just amazing. Nothing could prepare you for the sheer enormity of its presence. Both in colour, size and the spiritual feelings. It was so emotional. I had the joy of having flown over it the day before, that was incredible, though the see the rock from the ground, was another thing all together. So worth the travelling to get here."
TripAdvisor,Uluru-Kata Tjuta,"This is one of the most amazing places to visit, there are no words to explain how big this rock is without seeing it for yourself. It is just beautiful"
TripAdvisor,Uluru-Kata Tjuta,"We stayed at the Sails in the Desert hotel which was above okay , the room comfortably air conditioned and the bathroom spacious. A minus was the pool area which was lacking in any shade and character . The area outside the pool could also be made easily a lot shadier and more comfortable too The breakfast was surprisingly expensive and a walk to the Town Centre for an alternative is recommended The various tours offered are well organised but are of variable quality. The outstanding for us was the base walk around the Rock and the walk at the Olgas. The food at the Sounds of Silence was not memorable. The night sky was, as usual, the winner. ."
TripAdvisor,Uluru-Kata Tjuta,"Did a great tour with AAT Kings, had the fantastic Jess as our driver and guide. Jess was extremely informative and entertaining and really gave a great insight in to the history of Uluru and its traditional owners. Stopped at the Cultural Centre, then onto Kuninya Walk, Mutitjulu waterhole and to see some fabulous ancient Rock Art. Easy walking with a great explanation of everything we saw. Then onto the Sunset viewing area for drinks and nibbles while waiting for the sun to set over Uluru. Spectacular colours and amazing photo ops. Highly recommend. Thanks Jess!"
TripAdvisor,Uluru-Kata Tjuta,"Ok...I finally got to see the Big Rock bka Ayers Rock AKA ULURU! Its ginormous and red and did I say ginormous?! The Aboriginal history and stories given by our guide was interesting but I sometimes wonder if a full day is necessary here? Is there a big hype for $ or is it really worth the hype? For me...it is definitely a place to visit, take in a little history and maybe even meditate. There is an energy about this place that silently whispers....history, peace, sacred grounds. I took a hundred pictures and you know what...they all look the same! And this was from different angles. So I quietly wondered if my visit was even worth it. Yes, but now that I've gone I personally don't ever have to go back. It's a huge rock in the middle of the Outback for goodness sakes! It's a Unesco World Heritage Site people!!! You MUST go see it if you happen to be in the Outback!! Also if you go...use SEIT Tours and ask for Emilee or Lachland! They are THE BEST GUIDES EVER!"
TripAdvisor,Uluru-Kata Tjuta,A fantastic place and awe inspiring . Had a chance to visit in the rain. An awesome sight however unable to walk around.. one sunset was amazing
TripAdvisor,Uluru-Kata Tjuta,"Absolutely loved the rock, everything about it, the size, the colour, the walks, the climb, you really can't fathom the real size of this place with out experiencing it yourself in person. get out there and see it"
TripAdvisor,Uluru-Kata Tjuta,"Absolutely breathtaking - you truly cannot appreciate the size of Uluru until you see it. We did the mala walk, and then the full base walk (with all short walks included), and were just fascinated the whole time. Watched sunrises & sunsets aswell, and it was just stunning the whole time. Really disappointing to see so many people still climbing Uluru though."
TripAdvisor,Uluru-Kata Tjuta,"You really don't appreciate Uluru, till your driving up to it and visiting it in person. It really is beautiful. We did the 10+km walk around Uluru and loved every part of it. They've build water stations all around to combat the heat and the views and Uluru were beautiful all around."
TripAdvisor,Uluru-Kata Tjuta,"We saw Uluru partially coved in cloud and also in brilliant sunshine. When we arrived at Ayers Rock resort there had already been a couple of ‘wet days’ and we were told that we were lucky to be there when it had been raining, apparently only 2% of visitors get this chance! We didn’t see the many waterfalls of the previous day but you could still see the rainfall leaching out of the rock. Having seen Uluru in all these moods from sunrise to sunset, in cloud and in sunshine was an awesome experience."
TripAdvisor,Uluru-Kata Tjuta,"A long day but a great tour. Well organised, good drivers with light hearted but knowledgeable commentary. Customers looked after and everything provided. Barbecue well done even in the rain."
TripAdvisor,Uluru-Kata Tjuta,"Uluru and Kata Tjuta were breathtaking! You must pay for a three day pass when you arrive (so you might as well stay a few days). You also need a car, so make sure you secure one before you get there. I suggest you take a helicopter tour (including Lake Amadeus). The view is totally different from the sky. Do it! Kata Tjuta has an amazing hike. It will take you at least 4 hours and it's totally worth it. You will be amazed with the natural beauty of the Australian outback."
TripAdvisor,Uluru-Kata Tjuta,"This place thrills everyone who visits it, there is a magical aura that never fails to delight. Highly recommend doing the circuit walk/ride to get a good appreciation of the rock."
TripAdvisor,Uluru-Kata Tjuta,We did two tours with AAT - one was a Sunrise over Uluru... the other sunset..... Must dos!!!! Valley of the Winds Tour - Day 2 - Sunrise at Uluru. .. and the magic of the Valley of the Winds at Kata Tjuta (Olgas)... one of the guides described Kata Tjuta as one of the unsung heroes compared with Uluru. ... I have to agree! Another early start but beautiful view of Uluru and Kata Tjuta as the sun rose made it worth it. AAT got us there early and in prime spot. Then off to Kata Tjuta for a tour of Valley of the Winds. AMAZING!!!! Truly spectacular. Worth it! Day 3 - Sunset and Uluru walk - Aboriginal cave paintings. .. Dreamtime stories and sunset at Uluru. .. loved seeing the changing colour of Uluru! Yes we're being tourists and loved every minute of it! !!
TripAdvisor,Uluru-Kata Tjuta,It was definitely a bucket-list place to see and did not disappoint. We went out for 2 sunset viewings and they were both fabulous. We also did a tour around the rock which was great - nice to hear about the history and formation of Uluru. We also bought a few pieces of art from the carpark of the coach viewing area where local indigenous artist come to sell their paintings - really well priced and we were very happy to see the money go straight into the hands of the artists. Highly recommend a visit to Uluru
TripAdvisor,Uluru-Kata Tjuta,"Definitely recommend getting up early and seeing the sunrise from the sunrise viewing area. Great views of sunset from there too as well as the designated sunset viewing area,getting this one early for a good spot. Great free walk at 10am which is an eye opener for aboriginal culture. Loved the cultural centre too. Recommend going to the Olga’s too!!!"
TripAdvisor,Uluru-Kata Tjuta,"We decided to hire a car for 24 hours so we could visit the base of Uluru, Kata Tjuta and the Cultural Cente at our leisure. This enabled us to visit Kata Tjuta in the afternoon and the base of the rock the following morning. We were able to be part of the 10 am Base Walk Tour that the Cultural Centre runs. We also did a Sunset Viewing with AAT Kings which ws lovely."
TripAdvisor,Uluru-Kata Tjuta,"It was more than worth it to catch a coach from Sails in the Desert at 5.30 in the morning to drive half way to Uluru for a delicious breakfast of damper, bacon and egg rolls, juice tea and coffee. We watched the sunrise from a dune and then drove to the Rock where our guide gave us plenty of time to explore on our own and then drove us around to the other side and walked us to the rock pool and to see rock painings. We also visited the Indigenous Museum. We booked this tour at the Visitor Centre at the Town Square and it was a small group of 12 in a 4 wheel drive vehicle. Definitely recommend it. We also took part in a dot painting class which was a lot of fun and very educational."
TripAdvisor,Uluru-Kata Tjuta,"To see this striking rock formation, also known as Ayers Rock and is a UNESCO World Heritage Site, we recommend renting a car and driving out for the afternoon sunset, which is absolutely gorgeous. If you have time, the Park information center has an excellent exhibit that will enrich your knowledge of the area, people, and history. We would not recommend skipping the information center, as it fills in so many gaps in one's knowledge of the area. We took one of the hikes which involved about 3 hours roundtrip of moderate walking, and really enjoyed it. As the trail was rocky, sturdy shoes are recommended. There were a number of other trails to take, but we didn't have enough time programmed. If you drive around the rock, you will still get a good sense of its beauty close-up and from different angles. There is a secondary formation which is also part of the park called Kata Tjuta, and we drove out there the next morning for the sunrise view. Honestly, we didn't find it nearly as spectacular as sunset at Ayers Rock, and it's quite a drive. Friends have asked if we thought making the effort to get to Ayers Rock was worth it, and our opinion it is, but it's not a place we personally would return to. The resort in the park is adequate, but the main draw is the rock itself, some of the activities such as camel rides, dot painting, etc. which are not only fun, but help new visitors better understand the history and culture of this barren area of Australia."
TripAdvisor,Uluru-Kata Tjuta,"Its breathtaking, big, and amazing. Especially when you hear the legends as told by the guides. The colours at sunrise are brilliant."
TripAdvisor,Uluru-Kata Tjuta,"The former Ayers Rock is always magnificent and now far too many tourists. This time, a unique experience in the rain, what different faces it presented. I was fortunate to stay where I had a room with a view of this wonderful structure, it is fascinating and very special"
TripAdvisor,Uluru-Kata Tjuta,I finally visited Uluru and it was more spiritual and magical than I ever imagined. Take a moment and reflect on all that came before. All the ceremony and rites that have happened in this place. Wondrous and incredible.
TripAdvisor,Uluru-Kata Tjuta,"If you travel to Australia coming from overseas this should absolutely be part of the program, watch sunset and sunrise here is really something special. The only negative fact is that the hotels are very expensive, too much"
TripAdvisor,Uluru-Kata Tjuta,"This is so much more than what i expected, it's amazing. Sunrises or sunsets are just breathtaking! You can discover about australian history and indiginous culture."
TripAdvisor,Uluru-Kata Tjuta,"Uluru is the most spiritual and beautiful place I've ever visited in my life! We did an unguided walk, called the 'Base Walk', which is ca. 10km long. It was very warm but a few trees and fairly regular resting areas provided enough opportunities to cool down a bit. As there are plenty of signs with stories and explanations, we didn't feel like needing a guide. What upsets me is the behaviour of some people: some parts of Uluru are labelled as 'Sensitive Sites', with the request not to photograph them in respect of the cultural/religious importance for the indigenous people. Many tourists just ignored that, which is a pity. Take in this breathtaking view and keep it in you heart, not on your phone/camera! (Same is true for climbing the rock. Please show some respect!) You should take plenty of water, sunscreen and a hat. And yes, there are some annoying flies. If they bother you, take a fly net with you. There are animals and insects in nature, that is no reason to complain!"
TripAdvisor,Uluru-Kata Tjuta,"Having lived in Darwin for almost 30 years we decided to road trip it down to see the Rock. These days only a lucky few get to actually climb the Rock as it forms a very special part of the local Indigenous people’s culture. Please ensure you a very fit before attempting the climb, ensure you have shoes which have a thick rubber sole (as she gets pretty slippery) and 2 liters of water per person, a hat, sunscreen and I would also recommend leaving as soon as it opens at 8 am. It is 1.6 km up and back - a 3.2 km hike and it’s very very steep and you need to be quite agile to keep a stable footing. The views are amazing at the top! You can also walk around the base of the Rock which takes approximately 2.5 to 3 hours. Same rules apply - hat, sunscreen and water. Uluru is truly a sight to behold!"
TripAdvisor,Uluru-Kata Tjuta,"This was likely my favorite activity in the area. Sunrise views were amazing, guide was knowledgeable and friendly, access to Uluru was fantastic. I underestimated the length of the walk, and how hot it would be by late morning. I'm a hiker and was really dragging by the end. Only other suggestion - the food provided was rather meager (quality, not volume). I'd rather pay another few bucks and have a small breakfast provided, and a lunch with a protein... Still, would do this trip again in a heartbeat"
TripAdvisor,Uluru-Kata Tjuta,The size of the rock really shocked me. The cultural center is good to visit. There are guided walks available.
TripAdvisor,Uluru-Kata Tjuta,"I was unsure if the rock could possibly live up to its reputation, but it certainly did. It's absolutely stunning and huge."
TripAdvisor,Uluru-Kata Tjuta,"Images don't prepare you for the scale of the rock, like the pyramids of Egypt something you have to do once in your lifetime."
TripAdvisor,Uluru-Kata Tjuta,What can I say? I guess Uluru speaks for itself but I will say it is much more impressive than on those glossy photos. We did a lovely sunrise base walk with SEIT and would definitely recommend them for this activity. We chose not to climb for cultural reasons and did not feel like we missed any of the experience. So go on and book your tour!
TripAdvisor,Uluru-Kata Tjuta,"Humble brag - From watching stars adjacent to the rock the first night, to seeing Sunrise the second morning, sunset that night and then sunrise from the Olgas viewing platform, you can not get enough of Uluru. Disgusted to see that people are still allowed to climb up, but delighted that not many people do. In fact, where the occasional person does climb up the prescribed path, there's a small nook at ground level, where I felt inclined to kneel as though feeling the heart of the heart of Australia - A very special moment, and one I wish more people would consider instead of wanting to clamber all over it! Actually, did the Skydive over the rock during the afternoon and couldn't recommend it highly enough - Expensive, but what a way to see Nature's finest cathedral. Great value for money, getting a 3 day pass. Great guides and wardens who kicked me out, on two separate occasions for being inside the park at night - But did so with such good humour, one had to smile! Highly recommend the Olga's platform for one dawn viewing if you can - Uluru sits due East of them, so the sunrise behind Uluru is astonishing"
TripAdvisor,Uluru-Kata Tjuta,Fantastic trip. Breathtaking seeing Uluru up close. It looks like it is photoshopped in real life. We rented a car but there seems to be heaps of buses.
TripAdvisor,Uluru-Kata Tjuta,"We have all looked at images of Uluru on photos etc, but when you are physically standing at its base or walking around this massive structure, i'm sure you would describe it as awesome. This should be listed as one of the wonders of the world and is definitely worth the trip."
TripAdvisor,Uluru-Kata Tjuta,"We indulged in a sunset helicopter ride that included Uluru and Kata Tjuta. It was magnificent, a true highlight experience that we will never forget. If you think you might enjoy it, don't hesitate."
TripAdvisor,Uluru-Kata Tjuta,"Uluru (or Ayers Rock) is breathtaking, and surreal. Be sure to see it in both daylight, sunset and sunrise. For Maximum effect, choose the vantage points to get that perfect angle. Do not climb the rock - this is sacred grounds for those who've lived here for 40,000 years."
TripAdvisor,Uluru-Kata Tjuta,"You do not realise until you are right there the magnitude of this place...the multi facets of the rock bot in shape and colour are outstanding, and both sunrise and sunset need to be on your agenda..if you intend to ride by bike or walk around the rock (13kms) then start early at 8am"
TripAdvisor,Uluru-Kata Tjuta,"All I can say is ""go see it!"" It is such a special place. The trail around the base is beautiful at sunrise. Please don't climb the rock. It is a sacred place and people only belong on it during certain ceremonies. Respect the wishes of the Anangu."
TripAdvisor,Uluru-Kata Tjuta,"This should definitely be on everyone's bucket list, once in a lifetime. Good from a distance but take advantage of the entry to the park to go up close to it- the sheer size is amazing"
TripAdvisor,Uluru-Kata Tjuta,"Had a great time you have to at least do it once In your life time, we couldn't climb the rock on the day we were there, if it was open I probably would have climbed it but I didn't leave felling like I had missed something anything the place is amazing to just walk around."
TripAdvisor,Uluru-Kata Tjuta,"Uluru is spectacular. Absolutely go and visit it and learn as much as you can about the Aboriginal land on which is sits/forms. But, please don't climb it. This is sacred land - like a church, or the pyramids or Mayan ruins. It is spiritual to our first people, so please show respect and don't climb it like a monkey."
TripAdvisor,Uluru-Kata Tjuta,"Sunrise at Uluru was lovely especially with The Olgas in the background. The Resorts are pricey but I guess being in the middle of no-where this is to be expected, although were surprised at the reasonable prices at the IGA in Town Centre. The whole place is spotless and the rooms and facilities at Outback Pioneer were good value compared with some of the other places. Do book with the breakfast option though as prices at Bough House were ridiculous ($30 for CONTINENTAL and $36 for FULL but could be pre-purchased at Reception for $27). The rock itself is fascinating - we did the bike ride around the base and I have written a separate review for this. Everything runs like clock-work so a credit to Voyages. Only slight downside is 1 day passes aren't available for National Park and having to pay $25pp for a 3 day National Park Pass when only needed for the 1 day. Obviously this is not the fault of the Resort though. Excellent choice of Cafe's in Town Centre for meals if don't want to pay the ridiculous prices at the resort restaurants."
TripAdvisor,Uluru-Kata Tjuta,"Despite all the reading and documentary redsearch, I had not realised the incredible complexity of this monolith and the history that lay within it. It is truly a spiritual place with a character defined and redefined as the sun rises and sets upon it. Beautiful!!"
